match_no,team_1,team_2,batsmen,wicket_status,R,B,M,fours,sixes,SR,special_role,dismissal_mode,bowler_name,fielder,is_fielder_involved,match_date
70th match (N),Kolkata Knight Riders,Mumbai Indians,JH Kallis,c Suman b Franklin,59.0,42.0,0.0,4.0,3.0,140.47,normal player,caught,Franklin,Suman,1,2011-05-22
70th match (N),Kolkata Knight Riders,Mumbai Indians,SP Goswami,run out (Suman/†Rayudu),1.0,3.0,0.0,0.0,0.0,33.33,wicket keeper,run out,no bowler,no fielder,0,2011-05-22
70th match (N),Kolkata Knight Riders,Mumbai Indians,G Gambhir,b Ahmed,8.0,7.0,0.0,0.0,1.0,114.28,captain,bowled,Ahmed,no fielder,0,2011-05-22
70th match (N),Kolkata Knight Riders,Mumbai Indians,MK Tiwary,run out (Harbhajan Singh),35.0,22.0,0.0,5.0,1.0,159.09,normal player,run out,no bowler,no fielder,0,2011-05-22
70th match (N),Kolkata Knight Riders,Mumbai Indians,YK Pathan,c Ahmed b Franklin,36.0,27.0,0.0,4.0,1.0,133.33,normal player,caught,Franklin,Ahmed,1,2011-05-22
70th match (N),Kolkata Knight Riders,Mumbai Indians,RN ten Doeschate,lbw b Ahmed,18.0,12.0,0.0,1.0,1.0,150.0,normal player,lbw,Ahmed,no fielder,0,2011-05-22
70th match (N),Kolkata Knight Riders,Mumbai Indians,R Bhatia,run out (†Rayudu),11.0,6.0,0.0,2.0,0.0,183.33,normal player,run out,no bowler,no fielder,0,2011-05-22
70th match (N),Kolkata Knight Riders,Mumbai Indians,Shakib Al Hasan,not out,1.0,1.0,0.0,0.0,0.0,100.0,normal player,not out,no bowler,no fielder,0,2011-05-22
70th match (N),Kolkata Knight Riders,Mumbai Indians,TL Suman,c Pathan b Iqbal Abdulla,4.0,4.0,0.0,1.0,0.0,100.0,normal player,caught,Iqbal Abdulla,Pathan,1,2011-05-22
70th match (N),Kolkata Knight Riders,Mumbai Indians,SR Tendulkar,c Gambhir b Bhatia,38.0,27.0,0.0,6.0,0.0,140.74,captain,caught,Bhatia,Gambhir,1,2011-05-22
70th match (N),Kolkata Knight Riders,Mumbai Indians,Harbhajan Singh,c Tiwary b Bhatia,30.0,29.0,0.0,5.0,0.0,103.44,normal player,caught,Bhatia,Tiwary,1,2011-05-22
70th match (N),Kolkata Knight Riders,Mumbai Indians,RG Sharma,c †Goswami b Bhatia,10.0,9.0,0.0,1.0,0.0,111.11,normal player,caught,Bhatia,†Goswami,1,2011-05-22
70th match (N),Kolkata Knight Riders,Mumbai Indians,KA Pollard,b Balaji,18.0,22.0,0.0,2.0,0.0,81.81,normal player,bowled,Balaji,no fielder,0,2011-05-22
70th match (N),Kolkata Knight Riders,Mumbai Indians,JEC Franklin,not out,45.0,23.0,0.0,5.0,1.0,195.65,normal player,not out,no bowler,no fielder,0,2011-05-22
70th match (N),Kolkata Knight Riders,Mumbai Indians,AT Rayudu,not out,17.0,6.0,0.0,0.0,2.0,283.33,wicket keeper,not out,no bowler,no fielder,0,2011-05-22
1,Royal Challengers Bangalore,Chennai Super Kings,MA Agarwal,c Bollinger b Bravo,34.0,33.0,0.0,5.0,0.0,103.03,normal player,caught,Bravo,Bollinger,1,2011-05-24
1,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,lbw b Ashwin,8.0,9.0,0.0,0.0,1.0,88.88,normal player,lbw,Ashwin,no fielder,0,2011-05-24
1,Royal Challengers Bangalore,Chennai Super Kings,V Kohli,not out,70.0,44.0,0.0,5.0,3.0,159.09,normal player,not out,no bowler,no fielder,0,2011-05-24
1,Royal Challengers Bangalore,Chennai Super Kings,AB de Villiers,c Vijay b Jakati,11.0,10.0,0.0,0.0,1.0,110.0,wicket keeper,caught,Jakati,Vijay,1,2011-05-24
1,Royal Challengers Bangalore,Chennai Super Kings,LA Pomersbach,b Bollinger,29.0,18.0,0.0,2.0,2.0,161.11,normal player,bowled,Bollinger,no fielder,0,2011-05-24
1,Royal Challengers Bangalore,Chennai Super Kings,SS Tiwary,not out,9.0,6.0,0.0,1.0,0.0,150.0,normal player,not out,no bowler,no fielder,0,2011-05-24
1,Royal Challengers Bangalore,Chennai Super Kings,MEK Hussey,lbw b Khan,0.0,4.0,0.0,0.0,0.0,0.0,normal player,lbw,Khan,no fielder,0,2011-05-24
1,Royal Challengers Bangalore,Chennai Super Kings,M Vijay,lbw b Aravind,5.0,5.0,0.0,1.0,0.0,100.0,normal player,lbw,Aravind,no fielder,0,2011-05-24
1,Royal Challengers Bangalore,Chennai Super Kings,SK Raina,not out,73.0,50.0,0.0,4.0,6.0,146.0,normal player,not out,no bowler,no fielder,0,2011-05-24
1,Royal Challengers Bangalore,Chennai Super Kings,S Badrinath,c Aravind b Mithun,34.0,32.0,0.0,5.0,0.0,106.25,normal player,caught,Mithun,Aravind,1,2011-05-24
1,Royal Challengers Bangalore,Chennai Super Kings,MS Dhoni,c Mithun b Khan,29.0,19.0,0.0,3.0,1.0,152.63,captain & wicket keeper,caught,Khan,Mithun,1,2011-05-24
1,Royal Challengers Bangalore,Chennai Super Kings,JA Morkel,not out,28.0,10.0,0.0,1.0,3.0,280.0,normal player,not out,no bowler,no fielder,0,2011-05-24
Elimination Final (N),Kolkata Knight Riders,Mumbai Indians,G Gambhir,b Harbhajan Singh,4.0,8.0,0.0,1.0,0.0,50.0,captain,bowled,Harbhajan Singh,no fielder,0,2011-05-25
Elimination Final (N),Kolkata Knight Riders,Mumbai Indians,JH Kallis,c Tendulkar b Patel,7.0,7.0,0.0,1.0,0.0,100.0,normal player,caught,Patel,Tendulkar,1,2011-05-25
Elimination Final (N),Kolkata Knight Riders,Mumbai Indians,SP Goswami,c †Rayudu b Patel,0.0,3.0,0.0,0.0,0.0,0.0,wicket keeper,caught,Patel,†Rayudu,1,2011-05-25
Elimination Final (N),Kolkata Knight Riders,Mumbai Indians,MK Tiwary,lbw b Kulkarni,4.0,7.0,0.0,0.0,0.0,57.14,normal player,lbw,Kulkarni,no fielder,0,2011-05-25
Elimination Final (N),Kolkata Knight Riders,Mumbai Indians,YK Pathan,c Pollard b Patel,26.0,24.0,0.0,3.0,0.0,108.33,normal player,caught,Patel,Pollard,1,2011-05-25
Elimination Final (N),Kolkata Knight Riders,Mumbai Indians,RN ten Doeschate,not out,70.0,49.0,0.0,6.0,3.0,142.85,normal player,not out,no bowler,no fielder,0,2011-05-25
Elimination Final (N),Kolkata Knight Riders,Mumbai Indians,Shakib Al Hasan,b Malinga,26.0,16.0,0.0,4.0,0.0,162.5,normal player,bowled,Malinga,no fielder,0,2011-05-25
Elimination Final (N),Kolkata Knight Riders,Mumbai Indians,R Bhatia,run out (Sharma/Kulkarni),2.0,3.0,0.0,0.0,0.0,66.66,normal player,run out,no bowler,no fielder,0,2011-05-25
Elimination Final (N),Kolkata Knight Riders,Mumbai Indians,B Lee,not out,2.0,3.0,0.0,0.0,0.0,66.66,normal player,not out,no bowler,no fielder,0,2011-05-25
Elimination Final (N),Kolkata Knight Riders,Mumbai Indians,AC Blizzard,c Iqbal Abdulla b Lee,51.0,30.0,0.0,7.0,2.0,170.0,normal player,caught,Lee,Iqbal Abdulla,1,2011-05-25
Elimination Final (N),Kolkata Knight Riders,Mumbai Indians,SR Tendulkar,c Tiwary b Kallis,36.0,28.0,0.0,6.0,0.0,128.57,captain,caught,Kallis,Tiwary,1,2011-05-25
Elimination Final (N),Kolkata Knight Riders,Mumbai Indians,RG Sharma,run out (Gambhir),0.0,0.0,0.0,0.0,0.0,0.0,normal player,run out,no bowler,no fielder,0,2011-05-25
Elimination Final (N),Kolkata Knight Riders,Mumbai Indians,AT Rayudu,c †Goswami b Kallis,12.0,16.0,0.0,2.0,0.0,75.0,wicket keeper,caught,Kallis,†Goswami,1,2011-05-25
Elimination Final (N),Kolkata Knight Riders,Mumbai Indians,JEC Franklin,not out,29.0,25.0,0.0,2.0,0.0,116.0,normal player,not out,no bowler,no fielder,0,2011-05-25
Elimination Final (N),Kolkata Knight Riders,Mumbai Indians,KA Pollard,lbw b Shakib Al Hasan,3.0,5.0,0.0,0.0,0.0,60.0,normal player,lbw,Shakib Al Hasan,no fielder,0,2011-05-25
Elimination Final (N),Kolkata Knight Riders,Mumbai Indians,TL Suman,c Tiwary b Shakib Al Hasan,2.0,7.0,0.0,0.0,0.0,28.57,normal player,caught,Shakib Al Hasan,Tiwary,1,2011-05-25
Elimination Final (N),Kolkata Knight Riders,Mumbai Indians,Harbhajan Singh,not out,11.0,5.0,0.0,1.0,1.0,220.0,normal player,not out,no bowler,no fielder,0,2011-05-25
2nd Qualifying Final (N),Royal Challengers Bangalore,Mumbai Indians,MA Agarwal,c Sharma b Pollard,41.0,31.0,0.0,4.0,2.0,132.25,normal player,caught,Pollard,Sharma,1,2011-05-27
2nd Qualifying Final (N),Royal Challengers Bangalore,Mumbai Indians,CH Gayle,c Franklin b Patel,89.0,47.0,0.0,9.0,5.0,189.36,normal player,caught,Patel,Franklin,1,2011-05-27
2nd Qualifying Final (N),Royal Challengers Bangalore,Mumbai Indians,V Kohli,b Ahmed,8.0,12.0,0.0,0.0,0.0,66.66,normal player,bowled,Ahmed,no fielder,0,2011-05-27
2nd Qualifying Final (N),Royal Challengers Bangalore,Mumbai Indians,AB de Villiers,not out,21.0,15.0,0.0,0.0,1.0,140.0,wicket keeper,not out,no bowler,no fielder,0,2011-05-27
2nd Qualifying Final (N),Royal Challengers Bangalore,Mumbai Indians,LA Pomersbach,c Malinga b Patel,4.0,4.0,0.0,0.0,0.0,100.0,normal player,caught,Patel,Malinga,1,2011-05-27
2nd Qualifying Final (N),Royal Challengers Bangalore,Mumbai Indians,SS Tiwary,not out,8.0,12.0,0.0,0.0,0.0,66.66,normal player,not out,no bowler,no fielder,0,2011-05-27
2nd Qualifying Final (N),Royal Challengers Bangalore,Mumbai Indians,AC Blizzard,c Agarwal b Aravind,10.0,11.0,0.0,2.0,0.0,90.9,normal player,caught,Aravind,Agarwal,1,2011-05-27
2nd Qualifying Final (N),Royal Challengers Bangalore,Mumbai Indians,SR Tendulkar,st †de Villiers b Syed Mohammad,40.0,24.0,0.0,7.0,0.0,166.66,captain,stumped,Syed Mohammad,†de Villiers,1,2011-05-27
2nd Qualifying Final (N),Royal Challengers Bangalore,Mumbai Indians,Harbhajan Singh,c Pomersbach b Aravind,13.0,7.0,0.0,1.0,1.0,185.71,normal player,caught,Aravind,Pomersbach,1,2011-05-27
2nd Qualifying Final (N),Royal Challengers Bangalore,Mumbai Indians,RG Sharma,c Pomersbach b Vettori,13.0,15.0,0.0,1.0,0.0,86.66,normal player,caught,Vettori,Pomersbach,1,2011-05-27
2nd Qualifying Final (N),Royal Challengers Bangalore,Mumbai Indians,JEC Franklin,b Khan,16.0,17.0,0.0,0.0,1.0,94.11,normal player,bowled,Khan,no fielder,0,2011-05-27
2nd Qualifying Final (N),Royal Challengers Bangalore,Mumbai Indians,AT Rayudu,lbw b Vettori,0.0,1.0,0.0,0.0,0.0,0.0,wicket keeper,lbw,Vettori,no fielder,0,2011-05-27
2nd Qualifying Final (N),Royal Challengers Bangalore,Mumbai Indians,KA Pollard,c Mithun b Vettori,3.0,6.0,0.0,0.0,0.0,50.0,normal player,caught,Vettori,Mithun,1,2011-05-27
2nd Qualifying Final (N),Royal Challengers Bangalore,Mumbai Indians,R Sathish,not out,18.0,21.0,0.0,1.0,0.0,85.71,normal player,not out,no bowler,no fielder,0,2011-05-27
2nd Qualifying Final (N),Royal Challengers Bangalore,Mumbai Indians,SL Malinga,c Pomersbach b Syed Mohammad,7.0,5.0,0.0,0.0,1.0,140.0,normal player,caught,Syed Mohammad,Pomersbach,1,2011-05-27
2nd Qualifying Final (N),Royal Challengers Bangalore,Mumbai Indians,AN Ahmed,not out,18.0,13.0,0.0,1.0,1.0,138.46,normal player,not out,no bowler,no fielder,0,2011-05-27
Final (N),Chennai Super Kings,Royal Challengers Bangalore,MEK Hussey,c Mithun b Syed Mohammad,63.0,45.0,0.0,3.0,3.0,140.0,normal player,caught,Syed Mohammad,Mithun,1,2011-05-28
Final (N),Chennai Super Kings,Royal Challengers Bangalore,M Vijay,c Vettori b Aravind,95.0,52.0,0.0,4.0,6.0,182.69,normal player,caught,Aravind,Vettori,1,2011-05-28
Final (N),Chennai Super Kings,Royal Challengers Bangalore,MS Dhoni,c Kohli b Aravind,22.0,13.0,0.0,0.0,2.0,169.23,captain & wicket keeper,caught,Aravind,Kohli,1,2011-05-28
Final (N),Chennai Super Kings,Royal Challengers Bangalore,SK Raina,b Gayle,8.0,5.0,0.0,0.0,1.0,160.0,normal player,bowled,Gayle,no fielder,0,2011-05-28
Final (N),Chennai Super Kings,Royal Challengers Bangalore,JA Morkel,c Kohli b Gayle,2.0,4.0,0.0,0.0,0.0,50.0,normal player,caught,Gayle,Kohli,1,2011-05-28
Final (N),Chennai Super Kings,Royal Challengers Bangalore,S Badrinath,not out,0.0,0.0,0.0,0.0,0.0,0.0,normal player,not out,no bowler,no fielder,0,2011-05-28
Final (N),Chennai Super Kings,Royal Challengers Bangalore,DJ Bravo,not out,6.0,1.0,0.0,0.0,1.0,600.0,normal player,not out,no bowler,no fielder,0,2011-05-28
Final (N),Chennai Super Kings,Royal Challengers Bangalore,MA Agarwal,b Ashwin,10.0,5.0,0.0,2.0,0.0,200.0,normal player,bowled,Ashwin,no fielder,0,2011-05-28
Final (N),Chennai Super Kings,Royal Challengers Bangalore,CH Gayle,c †Dhoni b Ashwin,0.0,3.0,0.0,0.0,0.0,0.0,normal player,caught,Ashwin,†Dhoni,1,2011-05-28
Final (N),Chennai Super Kings,Royal Challengers Bangalore,V Kohli,lbw b Raina,35.0,32.0,0.0,1.0,1.0,109.37,normal player,lbw,Raina,no fielder,0,2011-05-28
Final (N),Chennai Super Kings,Royal Challengers Bangalore,AB de Villiers,lbw b Jakati,18.0,12.0,0.0,3.0,0.0,150.0,wicket keeper,lbw,Jakati,no fielder,0,2011-05-28
Final (N),Chennai Super Kings,Royal Challengers Bangalore,LA Pomersbach,c & b Jakati,2.0,3.0,0.0,0.0,0.0,66.66,normal player,caught,Jakati,Jakati,1,2011-05-28
Final (N),Chennai Super Kings,Royal Challengers Bangalore,SS Tiwary,not out,42.0,34.0,0.0,1.0,3.0,123.52,normal player,not out,no bowler,no fielder,0,2011-05-28
Final (N),Chennai Super Kings,Royal Challengers Bangalore,DL Vettori,c & b Ashwin,0.0,1.0,0.0,0.0,0.0,0.0,captain,caught,Ashwin,Ashwin,1,2011-05-28
Final (N),Chennai Super Kings,Royal Challengers Bangalore,A Mithun,c Bollinger b Bravo,11.0,8.0,0.0,2.0,0.0,137.5,normal player,caught,Bravo,Bollinger,1,2011-05-28
Final (N),Chennai Super Kings,Royal Challengers Bangalore,Z Khan,c Hussey b Bollinger,21.0,21.0,0.0,2.0,0.0,100.0,normal player,caught,Bollinger,Hussey,1,2011-05-28
Final (N),Chennai Super Kings,Royal Challengers Bangalore,J Syed Mohammad,not out,2.0,2.0,0.0,0.0,0.0,100.0,normal player,not out,no bowler,no fielder,0,2011-05-28
1,Chennai Super Kings,Mumbai Indians,F du Plessis,run out (Rayudu),3.0,2.0,4.0,0.0,0.0,150.0,normal player,run out,no bowler,no fielder,0,2012-04-04
1,Chennai Super Kings,Mumbai Indians,M Vijay,c Harbhajan Singh b Franklin,10.0,17.0,28.0,1.0,0.0,58.82,normal player,caught,Franklin,Harbhajan Singh,1,2012-04-04
1,Chennai Super Kings,Mumbai Indians,SK Raina,c Malinga b Ojha,36.0,26.0,41.0,2.0,1.0,138.46,normal player,caught,Ojha,Malinga,1,2012-04-04
1,Chennai Super Kings,Mumbai Indians,DJ Bravo,c Pollard b Ojha,19.0,19.0,15.0,3.0,0.0,100.0,normal player,caught,Ojha,Pollard,1,2012-04-04
1,Chennai Super Kings,Mumbai Indians,JA Morkel,c Ojha b Pollard,3.0,8.0,14.0,0.0,0.0,37.5,normal player,caught,Pollard,Ojha,1,2012-04-04
1,Chennai Super Kings,Mumbai Indians,S Badrinath,c Harbhajan Singh b Pollard,10.0,16.0,23.0,0.0,0.0,62.5,normal player,caught,Pollard,Harbhajan Singh,1,2012-04-04
1,Chennai Super Kings,Mumbai Indians,MS Dhoni,run out (Ahmed/†Karthik),4.0,6.0,9.0,0.0,0.0,66.66,captain & wicket keeper,run out,no bowler,no fielder,0,2012-04-04
1,Chennai Super Kings,Mumbai Indians,RA Jadeja,b Malinga,3.0,5.0,15.0,0.0,0.0,60.0,normal player,bowled,Malinga,no fielder,0,2012-04-04
1,Chennai Super Kings,Mumbai Indians,R Ashwin,run out (Harbhajan Singh/†Karthik),3.0,5.0,4.0,0.0,0.0,60.0,normal player,run out,no bowler,no fielder,0,2012-04-04
1,Chennai Super Kings,Mumbai Indians,SB Jakati,not out,6.0,10.0,11.0,0.0,0.0,60.0,normal player,not out,no bowler,no fielder,0,2012-04-04
1,Chennai Super Kings,Mumbai Indians,DE Bollinger,c Sharma b Malinga,3.0,5.0,7.0,0.0,0.0,60.0,normal player,caught,Malinga,Sharma,1,2012-04-04
1,Chennai Super Kings,Mumbai Indians,RE Levi,c Bollinger b Bravo,50.0,35.0,34.0,6.0,3.0,142.85,normal player,caught,Bravo,Bollinger,1,2012-04-04
1,Chennai Super Kings,Mumbai Indians,SR Tendulkar,retired hurt,16.0,15.0,48.0,1.0,1.0,106.66,normal player,retired,no bowler,no fielder,0,2012-04-04
1,Chennai Super Kings,Mumbai Indians,RG Sharma,c †Dhoni b Bollinger,0.0,3.0,7.0,0.0,0.0,0.0,normal player,caught,Bollinger,†Dhoni,1,2012-04-04
1,Chennai Super Kings,Mumbai Indians,AT Rayudu,not out,18.0,18.0,39.0,0.0,1.0,100.0,normal player,not out,no bowler,no fielder,0,2012-04-04
1,Chennai Super Kings,Mumbai Indians,JEC Franklin,not out,25.0,30.0,32.0,2.0,0.0,83.33,normal player,not out,no bowler,no fielder,0,2012-04-04
2nd match (N),Kolkata Knight Riders,Delhi Daredevils,BB McCullum,lbw b van der Merwe,9.0,7.0,8.0,2.0,0.0,128.57,wicket keeper,lbw,van der Merwe,no fielder,0,2012-04-05
2nd match (N),Kolkata Knight Riders,Delhi Daredevils,JH Kallis,b Morkel,4.0,4.0,14.0,1.0,0.0,100.0,normal player,bowled,Morkel,no fielder,0,2012-04-05
2nd match (N),Kolkata Knight Riders,Delhi Daredevils,G Gambhir,b Morkel,16.0,15.0,24.0,2.0,0.0,106.66,captain,bowled,Morkel,no fielder,0,2012-04-05
2nd match (N),Kolkata Knight Riders,Delhi Daredevils,MK Tiwary,b Morkel,0.0,1.0,1.0,0.0,0.0,0.0,normal player,bowled,Morkel,no fielder,0,2012-04-05
2nd match (N),Kolkata Knight Riders,Delhi Daredevils,YK Pathan,c †Ojha b Yadav,0.0,4.0,4.0,0.0,0.0,0.0,normal player,caught,Yadav,†Ojha,1,2012-04-05
2nd match (N),Kolkata Knight Riders,Delhi Daredevils,DB Das,run out (Finch/†Ojha),18.0,9.0,13.0,0.0,2.0,200.0,normal player,run out,no bowler,no fielder,0,2012-04-05
2nd match (N),Kolkata Knight Riders,Delhi Daredevils,LR Shukla,c Nagar b Yadav,26.0,17.0,15.0,1.0,2.0,152.94,normal player,caught,Yadav,Nagar,1,2012-04-05
2nd match (N),Kolkata Knight Riders,Delhi Daredevils,R Bhatia,st †Ojha b van der Merwe,7.0,9.0,16.0,0.0,0.0,77.77,normal player,stumped,van der Merwe,†Ojha,1,2012-04-05
2nd match (N),Kolkata Knight Riders,Delhi Daredevils,B Lee,run out (Yadav),9.0,5.0,5.0,0.0,1.0,180.0,normal player,run out,no bowler,no fielder,0,2012-04-05
2nd match (N),Kolkata Knight Riders,Delhi Daredevils,Iqbal Abdulla,not out,1.0,1.0,2.0,0.0,0.0,100.0,normal player,not out,no bowler,no fielder,0,2012-04-05
2nd match (N),Kolkata Knight Riders,Delhi Daredevils,AJ Finch,b Kallis,30.0,27.0,0.0,5.0,0.0,111.11,normal player,bowled,Kallis,no fielder,0,2012-04-05
2nd match (N),Kolkata Knight Riders,Delhi Daredevils,V Sehwag,c Iqbal Abdulla b Bhatia,20.0,13.0,0.0,1.0,1.0,153.84,captain,caught,Bhatia,Iqbal Abdulla,1,2012-04-05
2nd match (N),Kolkata Knight Riders,Delhi Daredevils,IK Pathan,not out,42.0,20.0,0.0,2.0,3.0,210.0,normal player,not out,no bowler,no fielder,0,2012-04-05
2nd match (N),Kolkata Knight Riders,Delhi Daredevils,GJ Maxwell,not out,3.0,7.0,0.0,0.0,0.0,42.85,normal player,not out,no bowler,no fielder,0,2012-04-05
3rd match (D/N),Pune Warriors,Mumbai Indians,MK Pandey,b Malinga,0.0,5.0,3.0,0.0,0.0,0.0,normal player,bowled,Malinga,no fielder,0,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,SC Ganguly,st †Karthik b Harbhajan Singh,3.0,6.0,16.0,0.0,0.0,50.0,captain,stumped,Harbhajan Singh,†Karthik,1,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,WD Parnell,b Patel,11.0,14.0,19.0,2.0,0.0,78.57,normal player,bowled,Patel,no fielder,0,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,RV Uthappa,c & b Pollard,36.0,33.0,52.0,3.0,0.0,109.09,wicket keeper,caught,Pollard,Pollard,1,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,CJ Ferguson,run out (Sharma),12.0,13.0,17.0,1.0,0.0,92.3,normal player,run out,no bowler,no fielder,0,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,SPD Smith,c Pollard b Patel,39.0,32.0,49.0,4.0,0.0,121.87,normal player,caught,Patel,Pollard,1,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,MN Samuels,b Malinga,4.0,4.0,7.0,0.0,0.0,100.0,normal player,bowled,Malinga,no fielder,0,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,B Kumar,b Ojha,2.0,4.0,3.0,0.0,0.0,50.0,normal player,bowled,Ojha,no fielder,0,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,M Kartik,not out,14.0,9.0,13.0,1.0,1.0,155.55,normal player,not out,no bowler,no fielder,0,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,R Sharma,run out (†Karthik/Pollard),0.0,0.0,3.0,0.0,0.0,0.0,normal player,run out,no bowler,no fielder,0,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,RE Levi,st †Uthappa b Kartik,0.0,2.0,1.0,0.0,0.0,0.0,normal player,stumped,Kartik,†Uthappa,1,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,AT Rayudu,c Kartik b Dinda,1.0,2.0,6.0,0.0,0.0,50.0,normal player,caught,Dinda,Kartik,1,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,RG Sharma,c †Uthappa b Dinda,1.0,6.0,9.0,0.0,0.0,16.66,normal player,caught,Dinda,†Uthappa,1,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,JEC Franklin,c Ferguson b Dinda,32.0,42.0,76.0,1.0,0.0,76.19,normal player,caught,Dinda,Ferguson,1,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,KD Karthik,st †Uthappa b Kartik,32.0,32.0,38.0,4.0,1.0,100.0,wicket keeper,stumped,Kartik,†Uthappa,1,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,SA Yadav,b Samuels,0.0,4.0,6.0,0.0,0.0,0.0,normal player,bowled,Samuels,no fielder,0,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,KA Pollard,b Sharma,8.0,11.0,17.0,0.0,0.0,72.72,normal player,bowled,Sharma,no fielder,0,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,Harbhajan Singh,lbw b Dinda,16.0,15.0,19.0,2.0,0.0,106.66,captain,lbw,Dinda,no fielder,0,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,SL Malinga,c †Uthappa b Parnell,5.0,3.0,7.0,1.0,0.0,166.66,normal player,caught,Parnell,†Uthappa,1,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,PP Ojha,not out,0.0,1.0,5.0,0.0,0.0,0.0,normal player,not out,no bowler,no fielder,0,2012-04-06
3rd match (D/N),Pune Warriors,Mumbai Indians,MM Patel,not out,1.0,2.0,1.0,0.0,0.0,50.0,normal player,not out,no bowler,no fielder,0,2012-04-06
4th match (N),Rajasthan Royals,Kings XI Punjab,R Dravid,c Faulkner b Harmeet Singh,28.0,24.0,42.0,3.0,0.0,116.66,captain,caught,Harmeet Singh,Faulkner,1,2012-04-06
4th match (N),Rajasthan Royals,Kings XI Punjab,AM Rahane,b Faulkner,98.0,66.0,87.0,16.0,1.0,148.48,normal player,bowled,Faulkner,no fielder,0,2012-04-06
4th match (N),Rajasthan Royals,Kings XI Punjab,AL Menaria,b Chawla,0.0,3.0,5.0,0.0,0.0,0.0,normal player,bowled,Chawla,no fielder,0,2012-04-06
4th match (N),Rajasthan Royals,Kings XI Punjab,BJ Hodge,b Faulkner,21.0,16.0,27.0,1.0,1.0,131.25,normal player,bowled,Faulkner,no fielder,0,2012-04-06
4th match (N),Rajasthan Royals,Kings XI Punjab,OA Shah,not out,14.0,8.0,14.0,2.0,0.0,175.0,normal player,not out,no bowler,no fielder,0,2012-04-06
4th match (N),Rajasthan Royals,Kings XI Punjab,KK Cooper,not out,11.0,3.0,3.0,1.0,1.0,366.66,normal player,not out,no bowler,no fielder,0,2012-04-06
4th match (N),Rajasthan Royals,Kings XI Punjab,AC Gilchrist,c Cooper b Singh,27.0,18.0,19.0,3.0,1.0,150.0,captain & wicket keeper,caught,Singh,Cooper,1,2012-04-06
4th match (N),Rajasthan Royals,Kings XI Punjab,PC Valthaty,c Singh b Cooper,13.0,15.0,28.0,2.0,0.0,86.66,normal player,caught,Cooper,Singh,1,2012-04-06
4th match (N),Rajasthan Royals,Kings XI Punjab,SE Marsh,c Dravid b Cooper,7.0,6.0,14.0,1.0,0.0,116.66,normal player,caught,Cooper,Dravid,1,2012-04-06
4th match (N),Rajasthan Royals,Kings XI Punjab,AM Nayar,c †Goswami b Cooper,10.0,10.0,9.0,0.0,1.0,100.0,normal player,caught,Cooper,†Goswami,1,2012-04-06
4th match (N),Rajasthan Royals,Kings XI Punjab,DJ Hussey,c Cooper b Trivedi,13.0,10.0,19.0,1.0,0.0,130.0,normal player,caught,Trivedi,Cooper,1,2012-04-06
4th match (N),Rajasthan Royals,Kings XI Punjab,Mandeep Singh,b Chavan,34.0,25.0,37.0,5.0,0.0,136.0,normal player,bowled,Chavan,no fielder,0,2012-04-06
4th match (N),Rajasthan Royals,Kings XI Punjab,Bipul Sharma,c Rahane b Chavan,18.0,13.0,20.0,2.0,0.0,138.46,normal player,caught,Chavan,Rahane,1,2012-04-06
4th match (N),Rajasthan Royals,Kings XI Punjab,PP Chawla,b Cooper,10.0,8.0,11.0,0.0,1.0,125.0,normal player,bowled,Cooper,no fielder,0,2012-04-06
4th match (N),Rajasthan Royals,Kings XI Punjab,JP Faulkner,not out,11.0,9.0,18.0,0.0,0.0,122.22,normal player,not out,no bowler,no fielder,0,2012-04-06
4th match (N),Rajasthan Royals,Kings XI Punjab,P Kumar,run out (Cooper/†Goswami),10.0,6.0,6.0,0.0,1.0,166.66,normal player,run out,no bowler,no fielder,0,2012-04-06
4th match (N),Rajasthan Royals,Kings XI Punjab,Harmeet Singh,not out,1.0,1.0,1.0,0.0,0.0,100.0,normal player,not out,no bowler,no fielder,0,2012-04-06
