,batsmen,R,B,M,fours,sixes,SR,boundary_contribution,100s,50s,times_played,average
235,Karanveer Singh,12.0,17.0,27.0,1.0,0.0,322.14,0.2,0.0,0.0,4,3.0
236,Kuldeep Yadav,44.0,54.0,44.0,4.0,0.0,613.79,0.3678571428571429,0.0,0.0,9,4.888888888888889
237,L Ablish,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
238,L Balaji,36.0,49.0,16.0,2.0,1.0,916.06,0.24444444444444444,0.0,0.0,15,2.4
239,L Ronchi,34.0,34.0,30.0,6.0,1.0,402.34,0.6625874125874126,0.0,0.0,5,6.8
240,LA Carseldine,81.0,68.0,40.0,11.0,0.0,597.36,0.6260683760683761,0.0,0.0,5,16.2
241,LA Pomersbach,302.0,246.0,152.0,25.0,13.0,1813.81,1.4407450662357328,0.0,1.0,16,18.875
242,LE Plunkett,1.0,3.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,2,0.5
243,LH Ferguson,1.0,1.0,5.0,0.0,0.0,100.0,0.0,0.0,0.0,1,1.0
244,LJ Wright,106.0,60.0,92.0,16.0,3.0,903.51,0.6884524144586064,0.0,0.0,6,17.666666666666668
245,LMP Simmons,1079.0,852.0,1242.0,109.0,44.0,3009.7799999999997,3.458766699313376,1.0,11.0,29,37.206896551724135
246,LPC Silva,40.0,26.0,14.0,5.0,1.0,351.42,0.3069053708439898,0.0,0.0,3,13.333333333333334
247,LR Shukla,405.0,350.0,213.0,33.0,15.0,3587.6299999999997,2.7854582680821074,0.0,0.0,34,11.911764705882353
248,LRPL Taylor,1017.0,822.0,542.0,66.0,46.0,6181.44,4.439596357663383,0.0,3.0,54,18.833333333333332
249,LS Livingstone,70.0,48.0,84.0,6.0,5.0,484.06,0.4837662337662338,0.0,0.0,4,17.5
250,M Ashwin,4.0,8.0,14.0,0.0,0.0,250.0,0.0,0.0,0.0,5,0.8
251,M Kaif,259.0,250.0,38.0,22.0,6.0,2160.92,2.0442577030812323,0.0,0.0,22,11.772727272727273
252,M Kartik,113.0,108.0,50.0,7.0,1.0,1299.03,0.5466513878278584,0.0,0.0,16,7.0625
253,M Klinger,73.0,77.0,37.0,9.0,0.0,330.86,0.39511494252873564,0.0,0.0,4,18.25
254,M Manhas,514.0,470.0,265.0,43.0,10.0,3733.199999999999,2.677158273587095,0.0,0.0,38,13.526315789473685
255,M Markande,27.0,29.0,1.0,3.0,0.0,673.33,0.47619047619047616,0.0,0.0,8,3.375
256,M Morkel,126.0,90.0,64.0,11.0,4.0,2340.52,1.2266994828207642,0.0,0.0,23,5.478260869565218
257,M Muralitharan,20.0,30.0,9.0,1.0,0.0,562.5,0.25,0.0,0.0,9,2.2222222222222223
258,M Ntini,11.0,18.0,0.0,2.0,0.0,91.66,0.18181818181818182,0.0,0.0,2,5.5
259,M Prasidh Krishna,1.0,7.0,5.0,0.0,0.0,20.0,0.0,0.0,0.0,3,0.3333333333333333
260,M Rawat,55.0,69.0,47.0,4.0,1.0,768.6299999999999,0.45543478260869563,0.0,0.0,12,4.583333333333333
261,M Vijay,2587.0,2106.0,2018.0,243.0,91.0,10654.690000000002,10.78535188809746,2.0,13.0,103,25.116504854368934
262,M Vohra,1012.0,768.0,1152.0,97.0,39.0,4963.339999999999,4.267569827359428,0.0,3.0,45,22.488888888888887
263,M de Lange,1.0,2.0,4.0,0.0,0.0,50.0,0.0,0.0,0.0,1,1.0
264,MA Agarwal,1266.0,988.0,1121.0,117.0,52.0,8004.299999999999,7.104815542852962,0.0,5.0,72,17.583333333333332
265,MA Khote,24.0,22.0,42.0,2.0,1.0,364.28,0.37896825396825395,0.0,0.0,3,8.0
266,MA Starc,96.0,98.0,176.0,10.0,0.0,1087.4099999999999,0.810153256704981,0.0,0.0,12,8.0
267,MA Wood,1.0,3.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,1,1.0
268,MC Henriques,969.0,756.0,1170.0,87.0,27.0,6168.98,5.146545743427292,0.0,5.0,50,19.38
269,MC Juneja,125.0,128.0,224.0,11.0,1.0,633.58,0.5365246098439376,0.0,0.0,7,17.857142857142858
270,MD Mishra,237.0,208.0,4.0,24.0,8.0,1569.97,1.7792689321452988,0.0,0.0,17,13.941176470588236
271,MDKJ Perera,14.0,13.0,13.0,3.0,0.0,116.66,0.21428571428571427,0.0,0.0,2,7.0
272,MEK Hussey,1977.0,1612.0,1535.0,198.0,52.0,6038.409999999999,6.299212399061612,1.0,15.0,58,34.08620689655172
273,MF Maharoof,177.0,123.0,0.0,12.0,9.0,1564.31,1.0335903862219653,0.0,0.0,14,12.642857142857142
274,MG Johnson,167.0,164.0,241.0,10.0,7.0,2633.77,1.530974580974581,0.0,0.0,30,5.566666666666666
275,MJ Clarke,98.0,94.0,162.0,12.0,0.0,566.68,0.5299350040203699,0.0,0.0,6,16.333333333333332
276,MJ Guptill,270.0,196.0,314.0,24.0,15.0,1497.58,1.4110817805383022,0.0,1.0,13,20.76923076923077
277,MJ Lumb,278.0,194.0,0.0,45.0,6.0,1251.4799999999998,1.5601216997191139,0.0,1.0,12,23.166666666666668
278,MJ McClenaghan,85.0,70.0,96.0,5.0,7.0,1755.1100000000001,1.1568181818181817,0.0,0.0,24,3.5416666666666665
279,MJ Santner,32.0,23.0,41.0,0.0,3.0,443.33,0.19090909090909092,0.0,0.0,2,16.0
280,MK Lomror,28.0,24.0,8.0,3.0,0.0,458.32000000000005,0.3611111111111111,0.0,0.0,3,9.333333333333334
281,MK Pandey,2843.0,2353.0,2443.0,253.0,75.0,12247.259999999995,10.444920215684938,1.0,15.0,120,23.691666666666666
282,MK Tiwary,1695.0,1449.0,1216.0,156.0,40.0,9490.629999999997,7.6930061307514155,0.0,7.0,85,19.941176470588236
283,ML Hayden,1107.0,805.0,222.0,121.0,44.0,3862.4500000000003,4.237510860264256,0.0,8.0,32,34.59375
284,MM Ali,297.0,179.0,162.0,20.0,23.0,1752.7900000000002,1.6086752136752136,0.0,3.0,14,21.214285714285715
285,MM Patel,39.0,41.0,9.0,5.0,0.0,588.08,0.21739130434782608,0.0,0.0,15,2.6
286,MM Sharma,122.0,117.0,185.0,8.0,4.0,2265.3199999999997,1.1126373626373627,0.0,0.0,27,4.518518518518518
287,MN Samuels,161.0,172.0,232.0,9.0,7.0,966.21,0.6451658032220693,0.0,0.0,14,11.5
288,MN van Wyk,167.0,132.0,20.0,19.0,1.0,518.43,0.4465330155737133,0.0,1.0,5,33.4
289,MP Stoinis,473.0,364.0,465.0,34.0,18.0,2737.14,1.94395624212551,0.0,1.0,25,18.92
290,MR Marsh,225.0,196.0,162.0,9.0,14.0,1565.38,1.0828517854833644,0.0,0.0,14,16.071428571428573
291,MS Bisla,798.0,702.0,596.0,93.0,23.0,3388.65,4.37710244156554,0.0,4.0,39,20.46153846153846
292,MS Dhoni,4432.0,3215.0,3009.0,297.0,209.0,21878.36,15.49249226132962,0.0,23.0,170,26.070588235294117
293,MS Gony,99.0,71.0,36.0,6.0,8.0,1541.66,1.0133699633699633,0.0,0.0,17,5.823529411764706
294,MS Wade,22.0,33.0,0.0,0.0,0.0,218.88,0.0,0.0,0.0,3,7.333333333333333
295,MV Boucher,394.0,309.0,133.0,32.0,13.0,2581.08,2.103521216818181,0.0,1.0,24,16.416666666666668
296,Mandeep Singh,1529.0,1226.0,1604.0,160.0,33.0,8987.61,7.684962870186897,0.0,5.0,84,18.202380952380953
297,Mashrafe Mortaza,2.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1,2.0
298,Misbah-ul-Haq,117.0,81.0,16.0,10.0,6.0,812.8599999999999,0.5901945884736873,0.0,0.0,8,14.625
299,Mohammad Ashraful,2.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1,2.0
300,Mohammad Asif,3.0,6.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,2,1.5
301,Mohammad Hafeez,64.0,83.0,49.0,7.0,2.0,670.43,1.1868589743589744,0.0,0.0,8,8.0
302,Mohammad Nabi,135.0,91.0,138.0,11.0,7.0,1487.6999999999996,1.339269080066044,0.0,0.0,10,13.5
303,Mohammed Shami,54.0,53.0,80.0,5.0,2.0,1224.98,0.726190476190476,0.0,0.0,16,3.375
304,Mohammed Siraj,29.0,36.0,22.0,2.0,1.0,483.6700000000001,0.26785714285714285,0.0,0.0,8,3.625
305,Mujeeb Ur Rahman,10.0,11.0,8.0,2.0,0.0,200.0,0.2,0.0,0.0,5,2.0
306,Mustafizur Rahman,1.0,3.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,2,0.5
307,N Pooran,168.0,107.0,140.0,9.0,14.0,884.7199999999999,0.6889665286404416,0.0,0.0,6,28.0
308,N Rana,1085.0,806.0,781.0,84.0,60.0,4963.159999999999,4.7469355496273895,0.0,8.0,41,26.463414634146343
309,N Saini,140.0,141.0,187.0,16.0,0.0,830.03,0.7557422969187674,0.0,1.0,10,14.0
310,NA Saini,2.0,4.0,1.0,0.0,0.0,66.66,0.0,0.0,0.0,2,1.0
311,ND Doshi,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
312,NJ Maddinson,20.0,21.0,26.0,4.0,0.0,273.8,0.6666666666666666,0.0,0.0,3,6.666666666666667
313,NJ Rimmington,1.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1,1.0
314,NK Patel,121.0,119.0,55.0,14.0,1.0,590.89,0.5718671679197995,0.0,1.0,6,20.166666666666668
315,NL McCullum,26.0,22.0,0.0,0.0,1.0,277.08000000000004,0.09090909090909091,0.0,0.0,2,13.0
316,NLTC Perera,422.0,307.0,438.0,23.0,26.0,3721.29,2.6151737790484595,0.0,0.0,30,14.066666666666666
317,NM Coulter-Nile,52.0,50.0,89.0,3.0,4.0,1341.95,1.2039682539682541,0.0,0.0,13,4.0
318,NS Naik,30.0,47.0,63.0,2.0,0.0,155.64999999999998,0.18831168831168832,0.0,0.0,3,10.0
319,NV Ojha,1554.0,1313.0,1035.0,121.0,79.0,10164.359999999999,9.011371027449943,0.0,6.0,94,16.53191489361702
320,OA Shah,506.0,389.0,357.0,34.0,23.0,2619.4100000000008,1.8126570513881104,0.0,4.0,22,23.0
321,P Awana,5.0,14.0,32.0,0.0,0.0,100.0,0.0,0.0,0.0,7,0.7142857142857143
322,P Chopra,8.0,6.0,0.0,2.0,0.0,133.33,0.25,0.0,0.0,1,8.0
323,P Dogra,127.0,138.0,59.0,4.0,5.0,951.5899999999999,0.4510092514718251,0.0,0.0,12,10.583333333333334
324,P Kumar,340.0,314.0,214.0,22.0,17.0,5192.39,3.206521582992171,0.0,0.0,59,5.762711864406779
325,P Negi,365.0,289.0,419.0,27.0,16.0,4190.07,2.9218259932075727,0.0,0.0,35,10.428571428571429
326,P Parameswaran,1.0,2.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,2,0.5
327,P Ray Barman,19.0,24.0,35.0,2.0,0.0,79.16,0.10526315789473684,0.0,0.0,1,19.0
328,P Sahu,19.0,13.0,14.0,1.0,1.0,250.0,0.1111111111111111,0.0,0.0,2,9.5
329,P Simran Singh,16.0,17.0,32.0,1.0,1.0,94.11,0.125,0.0,0.0,1,16.0
330,PA Patel,2848.0,2358.0,2536.0,365.0,49.0,13871.629999999997,15.604899751183181,0.0,13.0,137,20.78832116788321
331,PA Reddy,164.0,160.0,237.0,15.0,2.0,918.88,0.8198651822793699,0.0,0.0,11,14.909090909090908
332,PC Valthaty,505.0,418.0,142.0,60.0,20.0,2146.8900000000003,2.9396169369777154,1.0,2.0,23,21.956521739130434
333,PD Collingwood,203.0,156.0,0.0,9.0,13.0,766.0299999999999,0.4936043285238623,0.0,3.0,7,29.0
334,PJ Cummins,77.0,55.0,82.0,5.0,4.0,1156.27,0.7920995670995672,0.0,0.0,10,7.7
335,PJ Sangwan,24.0,39.0,9.0,1.0,0.0,764.44,0.25,0.0,0.0,14,1.7142857142857142
336,PM Sarvesh Kumar,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1,1.0
337,PP Chawla,584.0,524.0,501.0,54.0,18.0,8226.589999999998,6.653846746461836,0.0,0.0,81,7.209876543209877
338,PP Ojha,16.0,45.0,43.0,0.0,0.0,920.0,0.0,0.0,0.0,23,0.6956521739130435
339,PP Shaw,598.0,424.0,437.0,72.0,19.0,3145.08,3.572226354308796,0.0,4.0,25,23.92
340,PR Shah,92.0,91.0,0.0,9.0,2.0,865.98,0.7610102843315185,0.0,0.0,10,9.2
341,PSP Handscomb,6.0,12.0,32.0,0.0,0.0,50.0,0.0,0.0,0.0,1,6.0
342,PV Tambe,18.0,39.0,51.0,1.0,0.0,379.69000000000005,0.14285714285714285,0.0,0.0,6,3.0
343,Pankaj Singh,7.0,12.0,5.0,0.0,0.0,303.33000000000004,0.0,0.0,0.0,5,1.4
344,Parvez Rasool,17.0,20.0,33.0,1.0,0.0,316.11,0.1,0.0,0.0,5,3.4
345,Q de Kock,1456.0,1109.0,1390.0,155.0,54.0,5645.1900000000005,6.57993023745073,1.0,10.0,50,29.12
346,R Ashwin,375.0,339.0,354.0,32.0,10.0,4903.299999999999,3.0341992455516573,0.0,0.0,52,7.211538461538462
347,R Bhatia,342.0,284.0,335.0,24.0,13.0,5944.469999999999,3.4872019462492605,0.0,0.0,49,6.979591836734694
348,R Bishnoi,19.0,17.0,2.0,1.0,2.0,178.57,0.16666666666666666,0.0,0.0,3,6.333333333333333
349,R Dhawan,153.0,135.0,202.0,13.0,4.0,1895.62,1.3454165552220472,0.0,0.0,17,9.0
350,R Dravid,2174.0,1882.0,1222.0,268.0,28.0,8590.31,9.970156019274256,0.0,11.0,82,26.51219512195122
351,R McLaren,159.0,171.0,55.0,14.0,1.0,934.1600000000001,0.5317104464163288,0.0,1.0,13,12.23076923076923
352,R Ninan,3.0,6.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1,3.0
353,R Parag,160.0,126.0,204.0,17.0,5.0,649.53,0.7834710539336962,0.0,1.0,5,32.0
354,R Rampaul,51.0,50.0,69.0,3.0,2.0,474.19,0.2906911928651059,0.0,0.0,7,7.285714285714286
355,R Sathish,270.0,231.0,176.0,22.0,6.0,2590.4500000000003,1.856261777438248,0.0,0.0,25,10.8
356,R Sharma,66.0,75.0,38.0,5.0,3.0,1035.3,0.7967032967032965,0.0,0.0,20,3.3
357,R Shukla,19.0,23.0,27.0,2.0,0.0,266.65,0.14285714285714285,0.0,0.0,4,4.75
358,R Tewatia,111.0,89.0,58.0,11.0,3.0,1424.8300000000002,1.3397338772338772,0.0,0.0,12,9.25
359,R Vinay Kumar,310.0,274.0,223.0,21.0,9.0,5044.3099999999995,2.5988480360219492,0.0,0.0,46,6.739130434782608
360,RA Jadeja,1927.0,1571.0,1581.0,135.0,65.0,15428.579999999994,10.12370084024006,0.0,0.0,128,15.0546875
361,RA Tripathi,758.0,552.0,576.0,74.0,27.0,3981.2000000000003,3.38399871653784,0.0,4.0,33,22.96969696969697
362,RD Chahar,15.0,13.0,18.0,2.0,0.0,492.85,0.2,0.0,0.0,5,3.0
363,RE Levi,83.0,73.0,103.0,10.0,4.0,332.99,0.3524137931034483,0.0,1.0,6,13.833333333333334
364,RE van der Merwe,159.0,141.0,44.0,11.0,8.0,1366.1399999999999,0.9695479641131814,0.0,0.0,15,10.6
365,RG More,2.0,2.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,1,2.0
366,RG Sharma,4898.0,3744.0,3665.0,431.0,194.0,20495.900000000012,18.34971775218857,1.0,36.0,183,26.76502732240437
367,RJ Harris,117.0,112.0,58.0,6.0,3.0,2049.9300000000003,0.8960030165912518,0.0,0.0,21,5.571428571428571
368,RJ Peterson,32.0,30.0,51.0,3.0,1.0,441.41999999999996,0.2644230769230769,0.0,0.0,5,6.4
369,RJ Quiney,103.0,102.0,0.0,12.0,3.0,759.76,1.0063025210084033,0.0,1.0,7,14.714285714285714
370,RK Bhui,7.0,17.0,18.0,0.0,0.0,58.33,0.0,0.0,0.0,2,3.5
371,RK Singh,66.0,65.0,69.0,5.0,2.0,692.1999999999999,0.5916666666666667,0.0,0.0,7,9.428571428571429
372,RN ten Doeschate,326.0,235.0,271.0,26.0,15.0,2544.2300000000005,2.0138009087464797,0.0,1.0,22,14.818181818181818
373,RP Singh,52.0,76.0,16.0,2.0,1.0,1948.32,0.3666666666666667,0.0,0.0,30,1.7333333333333334
374,RR Bhatkal,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
375,RR Pant,1736.0,1067.0,1133.0,152.0,94.0,7305.829999999999,6.100095506435262,1.0,11.0,54,32.148148148148145
376,RR Powar,67.0,64.0,7.0,6.0,1.0,885.22,0.42142857142857143,0.0,0.0,10,6.7
377,RR Raje,20.0,18.0,0.0,1.0,1.0,427.14,0.25757575757575757,0.0,0.0,5,4.0
378,RR Rossouw,53.0,51.0,100.0,3.0,3.0,412.83,0.3392857142857143,0.0,0.0,5,10.6
379,RR Sarwan,73.0,75.0,13.0,6.0,1.0,375.55999999999995,0.2946236559139785,0.0,0.0,4,18.25
380,RS Bopara,531.0,453.0,198.0,39.0,16.0,2054.85,1.537300705077578,0.0,3.0,22,24.136363636363637
381,RS Gavaskar,2.0,8.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1,2.0
382,RS Sodhi,4.0,2.0,0.0,1.0,0.0,200.0,0.25,0.0,0.0,1,4.0
383,RT Ponting,91.0,128.0,114.0,5.0,2.0,432.92,0.3669172932330827,0.0,0.0,9,10.11111111111111
384,RV Gomez,50.0,51.0,16.0,5.0,1.0,857.76,0.6082417582417583,0.0,0.0,9,5.555555555555555
385,RV Uthappa,4411.0,3380.0,3423.0,435.0,156.0,20213.989999999998,19.64233796631879,0.0,24.0,170,25.94705882352941
386,Rashid Khan,104.0,63.0,74.0,5.0,9.0,2123.3199999999997,0.7705882352941177,0.0,0.0,18,5.777777777777778
387,Rasikh Salam,5.0,4.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,1,5.0
388,S Anirudha,136.0,113.0,33.0,9.0,7.0,1300.64,0.6944444444444444,0.0,1.0,13,10.461538461538462
389,S Aravind,59.0,57.0,84.0,7.0,0.0,955.28,0.721103896103896,0.0,0.0,12,4.916666666666667
390,S Badree,13.0,23.0,39.0,0.0,0.0,217.45,0.0,0.0,0.0,5,2.6
391,S Badrinath,1441.0,1212.0,436.0,154.0,28.0,7416.380000000002,6.314919974261077,0.0,11.0,67,21.507462686567163
392,S Chanderpaul,25.0,31.0,0.0,4.0,0.0,231.29999999999998,0.33035714285714285,0.0,0.0,3,8.333333333333334
393,S Dhawan,4579.0,3669.0,3987.0,524.0,96.0,17638.06999999999,19.48354576208222,0.0,37.0,158,28.981012658227847
394,S Dube,40.0,33.0,33.0,1.0,3.0,441.42,0.39444444444444443,0.0,0.0,4,10.0
395,S Gopal,127.0,118.0,114.0,14.0,1.0,1376.2900000000002,0.8609833149306833,0.0,0.0,14,9.071428571428571
396,S Kaul,12.0,28.0,22.0,0.0,0.0,299.99,0.0,0.0,0.0,10,1.2
397,S Kaushik,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0
398,S Ladda,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0
399,S Lamichhane,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
400,S Nadeem,32.0,78.0,124.0,1.0,0.0,527.48,0.16666666666666666,0.0,0.0,19,1.6842105263157894
401,S Narwal,37.0,27.0,16.0,6.0,0.0,386.66,0.3405797101449275,0.0,0.0,4,9.25
402,S Rana,91.0,81.0,114.0,9.0,1.0,832.72,0.6163742690058479,0.0,0.0,8,11.375
403,S Randiv,2.0,4.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1,2.0
404,S Sohal,368.0,292.0,30.0,34.0,18.0,1958.3500000000004,1.541340562207087,0.0,2.0,20,18.4
405,S Sreesanth,34.0,55.0,10.0,6.0,0.0,473.8,0.6333333333333333,0.0,0.0,14,2.4285714285714284
406,S Sriram,31.0,36.0,0.0,3.0,0.0,150.24,0.1111111111111111,0.0,0.0,2,15.5
407,S Tyagi,3.0,4.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,3,1.0
408,S Vidyut,145.0,109.0,0.0,21.0,3.0,915.29,1.2523148148148149,0.0,1.0,8,18.125
409,SA Abbott,15.0,13.0,25.0,1.0,1.0,180.55,0.14285714285714285,0.0,0.0,2,7.5
410,SA Asnodkar,423.0,339.0,4.0,56.0,10.0,2089.7299999999996,2.5687368802487165,0.0,2.0,20,21.15
411,SA Yadav,1544.0,1173.0,1223.0,160.0,47.0,9551.38,8.32571830845347,0.0,7.0,71,21.746478873239436
412,SB Bangar,49.0,58.0,0.0,1.0,3.0,599.71,0.26050420168067223,0.0,0.0,8,6.125
413,SB Jakati,28.0,29.0,19.0,3.0,0.0,422.5,0.2967032967032967,0.0,0.0,8,3.5
414,SB Joshi,6.0,14.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,2,3.0
415,SB Styris,131.0,133.0,6.0,10.0,3.0,1082.37,0.8450949433708055,0.0,0.0,10,13.1
416,SB Wagh,2.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2,1.0
417,SC Ganguly,1349.0,1263.0,556.0,137.0,42.0,4978.44,5.8233573485315695,0.0,7.0,56,24.089285714285715
418,SD Chitnis,99.0,89.0,107.0,10.0,2.0,915.02,0.7508240297713982,0.0,0.0,8,12.375
419,SD Lad,15.0,13.0,19.0,1.0,1.0,115.38,0.13333333333333333,0.0,0.0,1,15.0
420,SE Bond,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1,1.0
421,SE Marsh,2477.0,1866.0,1743.0,266.0,78.0,8029.030000000002,8.658938978477817,1.0,20.0,69,35.89855072463768
422,SE Rutherford,73.0,54.0,94.0,2.0,7.0,927.0400000000001,0.6266955266955266,0.0,0.0,7,10.428571428571429
423,SJ Srivastava,5.0,5.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,4,1.25
424,SK Raina,5368.0,3915.0,3645.0,493.0,194.0,22585.810000000005,20.137846227090662,1.0,38.0,189,28.402116402116402
425,SK Trivedi,42.0,59.0,15.0,3.0,1.0,896.1700000000001,0.6150793650793651,0.0,0.0,15,2.8
426,SK Warne,198.0,214.0,29.0,14.0,6.0,2123.4800000000005,1.4181054239877768,0.0,0.0,29,6.827586206896552
427,SL Malinga,88.0,99.0,98.0,6.0,5.0,1579.48,1.2716513878278584,0.0,0.0,25,3.52
428,SM Curran,95.0,55.0,82.0,13.0,3.0,981.52,0.7803030303030303,0.0,1.0,8,11.875
429,SM Harwood,9.0,14.0,12.0,0.0,0.0,128.56,0.0,0.0,0.0,2,4.5
430,SM Katich,241.0,186.0,43.0,25.0,8.0,1179.43,1.2331953993718698,0.0,2.0,11,21.90909090909091
431,SM Pollock,147.0,111.0,102.0,12.0,8.0,878.08,0.7793060039264973,0.0,0.0,8,18.375
432,SMSM Senanayake,10.0,17.0,30.0,0.0,0.0,303.84000000000003,0.0,0.0,0.0,4,2.5
433,SN Khan,408.0,286.0,375.0,45.0,11.0,2963.7400000000002,2.323508437663992,0.0,1.0,23,17.73913043478261
434,SN Thakur,36.0,21.0,30.0,5.0,1.0,756.66,0.5095238095238095,0.0,0.0,8,4.5
435,SO Hetmyer,90.0,73.0,101.0,4.0,7.0,354.01,0.24444444444444444,0.0,1.0,5,18.0
436,SP Fleming,196.0,165.0,0.0,27.0,3.0,1062.34,1.2653943278943278,0.0,0.0,10,19.6
437,SP Goswami,293.0,291.0,72.0,32.0,3.0,1688.49,1.5772351062037615,0.0,1.0,19,15.421052631578947
438,SP Jackson,38.0,31.0,53.0,5.0,0.0,445.22,0.4291666666666667,0.0,0.0,3,12.666666666666666
439,SP Narine,771.0,458.0,423.0,93.0,44.0,7222.429999999999,5.864720081819258,0.0,3.0,57,13.526315789473685
440,SPD Smith,2022.0,1568.0,2341.0,180.0,49.0,8981.829999999998,7.145192721611992,1.0,8.0,72,28.083333333333332
441,SR Tendulkar,2334.0,1948.0,848.0,295.0,29.0,8259.419999999998,9.789524545071485,1.0,13.0,78,29.923076923076923
442,SR Watson,3575.0,2562.0,2156.0,343.0,177.0,15532.079999999996,16.12671713129186,4.0,19.0,130,27.5
443,SS Iyer,1681.0,1324.0,1552.0,149.0,67.0,6501.010000000001,6.5237824211693995,0.0,13.0,62,27.112903225806452
444,SS Shaikh,6.0,7.0,0.0,1.0,0.0,85.71,0.16666666666666666,0.0,0.0,1,6.0
445,SS Tiwary,1276.0,1067.0,950.0,93.0,45.0,7092.169999999999,5.587875711463242,0.0,7.0,65,19.630769230769232
446,ST Jayasuriya,768.0,532.0,190.0,84.0,39.0,3591.6699999999996,3.8928043869919495,1.0,4.0,30,25.6
447,STR Binny,880.0,683.0,887.0,66.0,35.0,7516.909999999999,5.274029149221703,0.0,0.0,68,12.941176470588236
448,SV Samson,2209.0,1696.0,2131.0,170.0,89.0,9818.31,8.525093180249145,2.0,10.0,89,24.820224719101123
449,SW Billings,334.0,250.0,301.0,31.0,10.0,1860.4499999999998,1.5233473933473936,0.0,3.0,19,17.57894736842105
450,SW Tait,23.0,26.0,2.0,1.0,1.0,336.1,0.19090909090909092,0.0,0.0,5,4.6
451,Sachin Baby,137.0,101.0,195.0,11.0,5.0,1131.02,0.8037289562289561,0.0,0.0,10,13.7
452,Salman Butt,193.0,161.0,0.0,30.0,2.0,790.5799999999999,1.2598882282101458,0.0,1.0,7,27.571428571428573
453,Sandeep Sharma,32.0,42.0,58.0,2.0,0.0,1167.77,0.34285714285714286,0.0,0.0,18,1.7777777777777777
454,Shahid Afridi,81.0,46.0,0.0,7.0,6.0,1166.6499999999999,0.7053613053613054,0.0,0.0,9,9.0
455,Shakib Al Hasan,746.0,589.0,627.0,70.0,20.0,5043.080000000001,3.9607972071240436,0.0,2.0,46,16.217391304347824
456,Shivam Mavi,13.0,15.0,0.0,1.0,0.0,237.5,0.16666666666666666,0.0,0.0,4,3.25
457,Shivam Sharma,5.0,3.0,3.0,1.0,0.0,300.0,0.25,0.0,0.0,2,2.5
458,Shoaib Ahmed,1.0,6.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,3,0.3333333333333333
459,Shoaib Akhtar,2.0,7.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0,1,2.0
460,Shoaib Malik,52.0,47.0,0.0,5.0,0.0,537.51,0.3662280701754386,0.0,0.0,5,10.4
461,Shubman Gill,499.0,377.0,407.0,43.0,15.0,2870.19,2.074009239140818,0.0,4.0,24,20.791666666666668
462,Sohail Tanvir,36.0,29.0,0.0,3.0,1.0,591.0699999999999,0.5205128205128204,0.0,0.0,5,7.2
463,Sunny Gupta,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
464,Sunny Singh,43.0,31.0,9.0,6.0,1.0,611.81,0.6000000000000001,0.0,0.0,5,8.6
465,Swapnil Singh,12.0,20.0,24.0,0.0,0.0,158.82,0.0,0.0,0.0,3,4.0
466,T Henderson,11.0,16.0,0.0,0.0,1.0,73.33,0.09090909090909091,0.0,0.0,2,5.5
467,T Kohli,11.0,19.0,0.0,0.0,1.0,183.32999999999998,0.14285714285714285,0.0,0.0,4,2.75
468,T Taibu,31.0,26.0,0.0,3.0,0.0,382.77,0.24444444444444444,0.0,0.0,3,10.333333333333334
469,T Thushara,12.0,18.0,0.0,0.0,0.0,236.66,0.0,0.0,0.0,4,3.0
470,TA Boult,12.0,14.0,20.0,0.0,1.0,362.5,0.16666666666666666,0.0,0.0,5,2.4
471,TD Paine,10.0,26.0,0.0,0.0,0.0,69.27,0.0,0.0,0.0,2,5.0
